,(ONLY MODIFY THIS COLUMN),,,,,,,
LAB Group:,LA04-20,,,,EXAMPLE:,LAB Group:,LA0X-0X,
Student A Comp ID:,nma66,,,,,Student A Comp ID:,ksl24,
Student B Comp ID:,dqy,,,,,Student B Comp ID:,dst5,
Tiling - implementation (20 pts),AB,,,,,Tiling - implementation (20 pts),A,"`-> ksl24 was responsible for this, because ksl24 is Student A"
Tiling - try 5 configs (20 pts),AB,,,,,Tiling - try 5 configs (20 pts),B,"`-> dst5 was responsible for this, because dst5 is Student B"
Vectorization - implementation (20 pts),AB,,,,,Vectorization - implementation (20 pts),A,
Vectorization - document results (5 pts),AB,,,,,Vectorization - document results (5 pts),B,
Parallelization - implementation (20 pts),AB,,,,,Parallelization - implementation (20 pts),A,
Parallelization - try different threads and plot histogram (20 pts),AB,,,,,Parallelization - try different threads and plot histogram (20 pts),B,
Parallelization - Readjust tile-sizes (10 pts),AB,,,,,Parallelization - Readjust tile-sizes (10 pts),A,
Parallelization - document step-by-step speedups (5 pts),AB,,,,,Parallelization - document step-by-step speedups (5 pts),AB,`-> Both ksl24 and dst5 were responsible for this (50/50)
